varos	osszeg_millio_egyfo	palyzatok_szama
Bükkaranyos	0,5044	24
Bükkmogyorósd	0,1688	3
Bükkösd	0,7928	19
Bükkszék	1,1403	8
Bükkszenterzsébet	0,3554	18
Bükkszentkereszt	0,2478	25
Bükkszentmárton	0,1282	1
Bükkzsérc	0,1083	2
Büttös	0,1454	1
Cece	1,0101	27
Cégénydányád	1,428	11
Cegléd	0,4198	222
Ceglédbercel	0,2571	21
Celldömölk	0,6458	148
Cered	1,4203	28
Chernelházadamonya	1,0492	4
Cibakháza	0,2217	24
Cigánd	5,3986	50
Cikó	0,4744	10
Cún	3,1738	1
Csabacsűd	0,3018	8
Csabaszabadi	0,2014	3
Csabdi	0,0745	9
Csabrendek	0,0539	15
Csáfordjánosfa	0,0117	1
Csaholc	1,1258	16
Csajág	0,0964	5
Csákánydoroszló	0,3749	6
Csákberény	0,2725	10
Csákvár	0,3079	35
Csanádapáca	0,0956	19
Csanádpalota	0,7813	29
Csány	0,1226	11
Csányoszró	0,4598	3
Csanytelek	0,3916	15
Csapi	0,5562	3
Csapod	0,0927	2
Csárdaszállás	0,003	1
Csarnóta	0,0923	3
Csaroda	1,2217	11
Császár	0,0499	11
Császártöltés	0,4037	26
Csátalja	0,234	11
Csataszög	0,0343	1
Csatka	0,2419	4
Csávoly	0,1491	13
Csécse	0,2362	10
Csegöld	0,2878	7
Csehi	0,0037	1
Csehimindszent	0,7151	6
Csemő	0,1277	16
Csempeszkopács	0,0312	1
Csengele	0,1045	9
Csenger	1,337	77
Csengersima	1,208	9
Csengerújfalu	0,6363	6
Csengőd	0,1211	10
Csénye	0,0315	3
Csenyéte	0,1345	2
Csép	0,0114	1
Csépa	0,028	2
Csepreg	0,502	47
Cserénfa	0,5219	2
Cserépfalu	0,3563	12
Cserépváralja	0,061	3
Cserháthaláp	1,0006	1
Cserhátsurány	0,2742	9
Cserhátszentiván	0,2222	2
Cserkeszőlő	0,8758	21
Cserkút	0,0825	4
Csernely	0,1478	2
Cserszegtomaj	0,2192	13
Csertő	0,0793	4
Csesznek	0,0173	1
Csesztreg	0,5875	11
Csesztve	1,4469	3
Csetény	0,1412	7
Csévharaszt	0,0632	5
Csibrák	1,7584	2
Csikéria	0,1628	5
Csikóstőttős	0,9885	4
Csincse	0,066	2
Csitár	0,8473	3
Csobád	0,013	1
Csobaj	0,2367	11
Csobánka	0,2037	21
Csókakő	0,1637	7
Csokonyavisonta	0,6237	17
Csokvaomány	0,0924	5
Csolnok	0,1757	19
Csólyospálos	0,3314	18
Csoma	0,037	2
Csomád	0,5565	12
Csongrád	1,4223	230
Csonkahegyhát	0,0623	2
Csopak	0,4655	23
Csór	0,3251	7
Csorna	2,5376	139
Csorvás	0,1223	37
Csót	0,1539	10
Csöde	0,1531	1
Csögle	0,0192	1
Csökmő	0,166	16
Csököly	0,0723	5
Csömödér	0,1422	6
Csömör	0,3119	42
Csönge	3,8029	13
Csörög	0,0323	2
Csörötnek	1,1508	4
Csősz	0,0116	1
Csővár	0,5111	9
Csurgó	0,9086	82
Csurgónagymarton	0,1304	3
Dabas	0,5327	133
Dabronc	0,3331	6
Dabrony	0,1152	1
Dad	0,163	8
Dág	0,0384	3
Dalmand	0,2237	7
Damak	0,6817	6
Dámóc	0,0371	2
Dánszentmiklós	0,5703	12
Dány	0,1603	10
Darány	0,2357	10
Darnózseli	0,2147	15
Daruszentmiklós	0,3537	10
Dávod	0,6952	10
Debercsény	0,1782	1
Debrecen	1,4492	4357
Debréte	0,0776	1
Decs	0,8025	36
Dédestapolcsány	0,1821	10
Dég	0,5813	24
Dejtár	0,1569	8
Délegyháza	0,1183	8
Demecser	0,6904	36
Demjén	8,3793	39
Dencsháza	1,8848	20
Dénesfa	0,0904	1
Derecske	1,0343	99
Derekegyház	0,6825	10
Deszk	0,3898	54
Detek	2,2783	7
Detk	0,5442	6
Dévaványa	0,3193	54
Devecser	1,1995	53
Dinnyeberki	0,1004	1
Diósberény	0,1446	3
Diósd	0,1624	47
Diósjenő	0,2934	17
Dióskál	0,1104	5
Diósviszló	0,0176	2
Doba	1,1608	6
Doboz	0,6027	16
Dobri	0,4296	1
Dobronhegy	0,1789	1
Dóc	0,2652	17
Domaháza	0,2617	7
Domaszék	0,2365	47
Dombegyház	0,3127	13
Dombiratos	0,0266	2
Dombóvár	0,8371	216
Dombrád	0,4796	46
Domony	0,0124	3
Domoszló	0,5557	24
Dormánd	0,773	9
Dorog	0,3017	107
Dorogháza	0,1322	6
Döbörhegy	0,0379	2
Döbröce	0,0599	1
Döbrököz	0,132	13
Döbrönte	0,0604	3
Döge	0,2021	9
Dömös	0,1174	8
Dömsöd	0,2123	30
Dör	0,1969	3
Dörgicse	0,3747	3
Döröske	0,0138	3
Dötk	10,7208	6
Dövény	0,0346	1
Drágszél	0,04	1
Drávacsepely	0,1908	1
Drávafok	0,8084	3
Drávagárdony	0,1219	1
Drávapiski	0,0902	1
Drávaszabolcs	6,1054	7
Drávasztára	0,2255	3
Drávatamási	1,0232	6
Drégelypalánk	1,0519	16
Dubicsány	0,0884	3
Dudar	0,8921	14
Dunaalmás	1,2669	16
Dunabogdány	0,121	17
Dunaegyháza	0,1716	9
Dunafalva	0,0103	2
Dunaföldvár	0,4313	82
Dunaharaszti	0,2277	124
Dunakeszi	0,1842	247
Dunakiliti	0,2857	21
Dunapataj	1,6902	42
Dunaremete	0,2062	2
Dunaszeg	0,1308	13
Dunaszekcső	0,237	6
Dunaszentbenedek	0,3441	6
Dunaszentgyörgy	0,0116	7
Dunaszentpál	0,0081	2
Dunasziget	0,0663	8
Dunatetétlen	2,9758	4
Dunaújváros	0,5969	450
Dunavarsány	0,4202	50
Dunavecse	0,5695	33
Dusnok	0,2815	27
Dúzs	3,1045	3
Ebergőc	0,108	1
Ebes	0,3005	29
Écs	0,4877	25
Ecséd	0,0955	8
Ecseg	0,5845	17
Ecsegfalva	0,0127	3
Ecser	0,1406	13
Edelény	1,2566	167
Eger	1,5309	1306
Egerág	0,0771	5
Egeralja	0,0236	1
Egeraracsa	0,0213	1
Egerbakta	0,3925	6
Egerbocs	0,0138	1
Egercsehi	0,1246	7
Egerfarmos	0,167	6
Egerlövő	0,0759	2
Egerszalók	1,6911	49
Egerszólát	0,1246	6
Égerszög	0,2504	2
Egervár	0,9104	26
Egervölgy	0,0028	1
Egyed	0,0303	1
Egyek	0,5371	35
Egyházasdengeleg	0,3698	14
Egyházasfalu	0,43	13
Egyházasgerge	0,0345	3
Egyházasharaszti	0,1692	2
Egyházashetye	0,0185	2
Egyházashollós	0,0449	1
Egyházaskozár	0,6863	11
Egyházasrádóc	0,053	7
Elek	0,3725	27
Ellend	0,039	1
Előszállás	0,6931	10
Emőd	0,2241	17
Encs	1,3497	95
Encsencs	0,2342	9
Endrefalva	0,1407	7
Enese	7,4186	21
Enying	0,7395	49
Eperjes	0,1367	6
Eperjeske	0,2187	3
Eplény	0,4453	6
Epöl	0,0861	3
Ercsi	0,3952	70
Érd	0,5875	213
Erdőbénye	0,246	17
Erdőhorváti	0,3131	6
Erdőkertes	0,1288	22
Erdőkövesd	0,3052	3
Erdőkürt	0,1088	4
Erdősmárok	0,0568	1
Erdősmecske	0,0272	1
Erdőtarcsa	0,1102	3
Erdőtelek	1,7214	45
Erk	0,4453	7
Érpatak	0,1471	14
Érsekcsanád	0,1413	16
Érsekhalma	0,615	6
Érsekvadkert	0,244	25
Értény	0,0127	3
Erzsébet	0,1611	2
Esztár	0,6241	30
Eszteregnye	0,2421	4
Esztergályhorváti	0,6263	6
Esztergom	0,734	373
Ete	0,3033	5
Etes	0,0969	4
Etyek	0,5159	33
Fábiánháza	0,1159	7
Fábiánsebestyén	0,7368	17
Fácánkert	0,0511	2
Fadd	0,2072	29
Fáj	0,1507	2
Fajsz	0,4776	12
Fancsal	0,0333	1
Farád	0,0519	6
Farkasgyepű	1,4982	4
Farkaslyuk	0,3308	12
Farmos	0,0184	15
Fedémes	0,0054	1
Fegyvernek	0,6888	39
Fehérgyarmat	0,9691	142
Fehértó	0,3293	2
Fehérvárcsurgó	0,9593	17
Feked	0,5211	4
Feketeerdő	0,0191	3
Felcsút	0,965	18
Feldebrő	0,065	2
Felgyő	4,4597	10
Felpéc	0,7766	4
Felsőberecki	0,0103	1
Felsőcsatár	0,502	2
Felsődobsza	1,6559	9
Felsőegerszeg	0,5053	2
Felsőgagy	0,0755	1
Felsőjánosfa	0,1225	2
Felsőkelecsény	0,035	2
Felsőlajos	0,2138	11
Felsőmarác	0,078	2
Felsőmocsolád	0,0662	2
Felsőnyárád	1,2538	11
Felsőnyék	0,4781	9
Felsőörs	0,2857	19
Felsőpáhok	0,1041	3
Felsőpakony	0,2583	23
Felsőpetény	0,1086	5
Felsőrajk	0,2142	6
Felsőregmec	0,1395	4
Felsőszentiván	0,1637	20
Felsőszentmárton	0,768	6
Felsőszölnök	0,0642	1
Felsőtárkány	1,0925	70
Felsőtelekes	0,069	4
Felsőtold	2,1014	2
Felsővadász	1,1947	10
Felsőzsolca	0,618	99
Fényeslitke	1,5271	24
Ferencszállás	0,1488	6
Fertőboz	3,9918	2
Fertőd	3,13	46
Fertőhomok	0,037	1
Fertőrákos	0,8105	6
Fertőszentmiklós	0,8183	31
Fertőszéplak	0,895	10
Filkeháza	0,2422	3
Foktő	0,6736	6
Folyás	0,3599	3
Fonó	0,6392	2
Fony	0,1476	4
Fonyód	3,6399	88
Forráskút	2,9303	28
Forró	0,1463	24
Fót	0,1284	88
Földeák	0,0548	12
Földes	0,4079	32
Fulókércs	0,2701	3
Furta	0,3646	12
Füle	0,0347	4
Fülesd	0,1996	1
Fülöp	0,3066	11
Fülöpháza	1,0731	3
Fülöpjakab	0,1967	8
Fülöpszállás	0,2371	12
Fülpösdaróc	0,0284	1
Fürged	0,3253	5
Füzér	8,9047	20
Füzérkajata	0,5252	6
Füzérkomlós	1,0753	12
Füzérradvány	2,0806	8
Füzesabony	0,5007	67
Füzesgyarmat	0,9383	72
Gáborján	0,079	4
Gáborjánháza	0,0178	1
Gacsály	0,7411	4
Gadány	0,1687	2
Gádoros	0,5902	7
Gagyvendégi	0,5797	3
Galambok	0,1885	13
Galgaguta	0,3146	10
Galgagyörk	0,0051	3
Galgahévíz	0,0309	9
Galgamácsa	1,5543	9
Gálosfa	0,4238	1
Galvács	0,7061	8
Gamás	0,5824	10
Ganna	0,8334	2
Gánt	0,384	7
Gara	0,0986	18
Garáb	0,0651	1
Garabonc	0,1275	2
Garadna	0,1595	5
Garbolc	0,0368	1
Gárdony	1,5294	89
Gátér	0,0333	1
Gávavencsellő	0,7832	55
Géberjén	1,9163	14
Gecse	0,0127	2
Géderlak	0,4001	8
Gégény	0,4879	15
Gelej	0,494	6
Gelénes	0,0431	2
Gellénháza	0,175	11
Gelse	0,5693	14
Gemzse	0,1923	3
Gencsapáti	0,4207	21
Gérce	0,2775	10
Gerde	0,1889	8
Gerendás	0,2266	10
Gerényes	0,1918	1
Geresdlak	0,2735	9
Gerjen	0,2291	5
Gersekarát	0,0459	7
Geszt	0,1383	4
Gesztely	0,3482	25
Geszteréd	0,0974	10
Gibárt	0,0236	1
Gic	0,1191	1
Gige	0,0951	1
Gilvánfa	0,7997	6
Girincs	0,224	10
Gógánfa	0,3678	8
Golop	0,2771	5
Gomba	0,1616	11
Gombosszeg	0,0141	1
Gordisa	0,2737	6
Gosztola	1,7492	4
Göd	0,1519	64
Gödöllő	0,7616	574
Gödre	0,4831	23
Gölle	0,5286	3
Gömörszőlős	2,0746	3
Gönc	2,0945	38
Göncruszka	0,1577	7
Gönyű	0,7901	32
Görbeháza	0,2911	22
Görcsöny	1,466	16
Görcsönydoboka	0,4322	3
Görgeteg	0,0648	6
Gősfa	0,2253	6
Grábóc	0,044	1
Gulács	0,1925	5
Gutorfölde	0,0456	4
Gyál	0,2058	85
Gyarmat	0,0396	5
Gyékényes	0,7766	10
Gyenesdiás	0,4186	45
Gyepükaján	0,5837	2
Gyermely	1,1111	25
Gyód	0,0147	1
Gyomaendrőd	0,3707	140
Gyóró	0,0787	2
Gyömöre	0,2266	10
Gyömrő	0,1896	61
Gyöngyfa	0,0205	1
Gyöngyös	0,8607	491
Gyöngyösfalu	0,1054	10
Gyöngyöshalász	0,074	8
Gyöngyösmellék	0,0154	1
Gyöngyösoroszi	0,1694	14
Gyöngyöspata	0,0915	7
Gyöngyössolymos	0,1759	23
Gyöngyöstarján	0,0223	8
Gyönk	0,6527	22
Győr	1,1025	2341
Győrasszonyfa	0,1056	1
Györe	0,0371	1
Györgytarló	1,5093	13
Györköny	0,3298	10
Győrladamér	0,1251	8
Győröcske	0,0227	1
Győrság	0,6128	12
Győrsövényház	0,4229	2
Győrszemere	0,6956	7
Győrtelek	0,3925	8
Győrújbarát	0,3109	97
Győrújfalu	0,0483	9
Győrvár	0,124	7
Győrzámoly	0,2448	21
Gyula	1,4831	371
Gyulaháza	0,2024	8
Gyulaj	0,918	14
Gyulakeszi	0,0111	2
Gyúró	0,0415	3
Gyügye	0,1926	3
Gyüre	0,3916	10
Hagyárosbörönd	0,0482	3
Hahót	0,2577	6
Hajdúbagos	0,0103	3
Hajdúböszörmény	0,7275	456
Hajdúdorog	0,6012	106
Hajdúhadház	0,4246	67
Hajdúnánás	0,6048	204
Hajdúsámson	0,3125	105
Hajdúszoboszló	0,75	250
Hajdúszovát	0,5533	20
Hajmás	1,9817	1
Hajmáskér	0,1164	15
Hajós	0,3709	40
Halastó	0,8187	5
Halászi	0,4318	27
Halásztelek	0,1727	49
Halimba	0,4363	7
Halmaj	0,4786	24
Halmajugra	2,6323	28
Halogy	0,0226	2
Hangács	0,1051	7
Hangony	0,1285	10
Hantos	0,0846	10
Harasztifalu	0,9512	6
Harc	0,2925	4
Harka	0,0526	6
Harkakötöny	0,1006	3
Harkány	1,2647	60
Háromfa	0,3476	10
Háromhuta	0,7327	6
Harsány	0,7036	43
Hárskút	0,1581	12
Harta	0,5066	51
Hásságy	0,0933	2
Hatvan	1,5042	250
Hédervár	0,0531	7
Hedrehely	0,0363	2
Hegyeshalom	0,0844	13
Hegyfalu	2,4258	6
Hegyháthodász	0,7732	6
Hegyhátsál	0,0875	4
Hegyhátszentjakab	0,3745	6
Hegyhátszentpéter	0,1398	1
Hegykő	0,2454	9
Hegymagas	0,0466	1
Hegymeg	1,1657	3
Hegyszentmárton	0,1652	3
Héhalom	0,0898	11
Hejce	0,3021	6
Hejőbába	0,0747	6
Hejőkeresztúr	0,5393	13
Hejőpapi	3,8109	21
Helesfa	0,0231	3
Helvécia	0,3918	20
Hencida	0,3924	16
Herceghalom	0,7441	35
Hercegkút	0,2308	11
Hercegszántó	0,3107	10
Heréd	0,0676	4
Héreg	0,1923	6
Herencsény	0,1427	5
Herend	0,2527	30
Hernád	0,1718	16
Hernádbűd	0,0269	1
Hernádcéce	0,2419	5
Hernádkak	0,8911	27
Hernádkércs	6,3173	10
Hernádnémeti	0,1597	16
Hernádpetri	0,5958	2
Hernádszentandrás	0,898	7
Hernádszurdok	0,0973	1
Hernádvécse	1,1699	12
Hét	2,2236	4
Hetefejércse	0,187	1
Hetes	0,5147	13
Hetvehely	0,9816	5
Heves	1,4134	186
Hevesvezekény	0,5364	4
Hévíz	3,7204	141
Hévízgyörk	0,1987	7
Hidas	0,284	28
Hidasnémeti	1,5657	21
Hidegkút	0,0268	2
Hidegség	0,0109	1
Hidvégardó	0,8714	14
Himesháza	0,4495	13
Himod	0,4505	2
Hobol	0,2032	10
Hodász	0,7204	33
Hódmezővásárhely	0,8894	593
Hollád	0,0442	2
Hollóháza	0,3446	14
Hollókő	9,1574	9
Homokbödöge	0,067	5
Homokmégy	0,4395	13
Homokszentgyörgy	0,2407	8
Homorúd	0,0286	1
Homrogd	3,303	15
Hont	1,6459	4
Horpács	0,2858	2
Hort	0,0545	11
Hortobágy	5,6107	47
Horvátlövő	0,0189	1
Horvátzsidány	0,1218	5
Hosszúhetény	0,848	27
Hosszúpályi	0,7254	29
Hosszúpereszteg	3,6995	2
Hosszúvölgy	0,1512	1
Hottó	0,0138	2
Hőgyész	0,069	15
Hugyag	0,1677	3
Hunya	0,0998	3
Hunyadfalva	2,9391	1
Husztót	0,0113	1
Ibafa	0,2151	2
Iborfia	0,179	1
Ibrány	0,9267	83
Igal	1,8789	37
Igar	0,1597	6
Igrici	0,4845	11
Iharos	0,0601	2
Iharosberény	0,8466	20
Ikervár	0,2766	10
Iklad	0,1777	11
Iklódbördőce	0,0439	3
Ikrény	0,1657	11
Iliny	0,535	1
Ilk	0,1285	6
Illocska	0,6211	5
Imola	0,389	3
Imrehegy	0,0064	1
Ináncs	0,3507	13
Inárcs	0,2284	26
Inke	0,2834	15
Ipolydamásd	0,0819	3
Ipolyszög	0,1067	2
Ipolytarnóc	2,9574	11
Ipolytölgyes	1,161	5
Ipolyvece	0,6618	3
Iregszemcse	0,6552	26
Irota	2,2873	3
Isaszeg	0,1836	37
Istenmezeje	0,0883	7
Istvándi	0,1979	2
Iszkaszentgyörgy	0,9995	30
Iszkáz	0,0243	1
Isztimér	0,2578	6
Ivád	0,025	4
Iván	0,1089	7
Ivánc	0,0047	1
Iváncsa	0,1956	17
Izmény	0,0173	1
Izsák	0,8184	57
Izsófalva	0,1401	10
Ják	0,1341	7
Jakabszállás	0,7267	26
Jákfa	0,5034	8
Jákfalva	0,0304	2
Jákó	0,0429	3
Jánd	44,5575	8
Jánkmajtis	0,9373	16
Jánoshalma	0,9677	122
Jánosháza	0,9749	19
Jánoshida	0,8296	14
Jánossomorja	0,2678	37
Járdánháza	0,5039	8
Jármi	0,7155	17
Jásd	0,3539	2
Jászalsószentgyörgy	0,2124	18
Jászapáti	1,2604	111
Jászárokszállás	0,3926	44
Jászberény	1,2646	431
Jászboldogháza	0,1189	8
Jászdózsa	0,8869	18
