varos	osszeg_millio	palyzatok_szama
Karancsság	260,7	7
Kárász	125,6	14
Karcag	14948	130
Karcsa	938,5	23
Kardos	41,1	3
Kardoskút	1689,9	15
Karmacs	16,5	4
Karos	39,5	2
Kartal	788	31
Kásád	8,7	1
Kaskantyú	19	3
Kastélyosdombó	13,6	3
Kaszaper	539,1	21
Katafa	0,9	1
Katymár	3798,1	10
Káva	7,8	1
Kávás	28,5	6
Kazár	474,3	30
Kazincbarcika	17649,6	243
Kázsmárk	657,3	12
Kecel	6054,8	97
Kecskéd	49,8	6
Kecskemét	137648,8	2150
Kehidakustány	1714,6	15
Kék	328,5	10
Kékcse	1324,7	16
Kéked	42,7	3
Kelebia	1585,3	11
Kelemér	92,6	5
Kéleshalom	53	6
Kemecse	2393	38
Kemence	637,5	6
Kemendollár	35,5	3
Kemeneshőgyész	109,4	4
Kemenesmagasi	403,5	9
Kemenesmihályfa	145,3	3
Kemenespálfa	14,5	1
Kemenessömjén	4,6	1
Kemenesszentmárton	2,7	1
Kemenesszentpéter	5,9	2
Kémes	250,8	7
Kemestaródfa	129,3	5
Kenderes	1816,1	38
Kenézlő	551,5	8
Kengyel	305,2	16
Kenyeri	326,7	2
Kercaszomor	654,6	2
Kercseliget	10,5	1
Kerecsend	1143,8	26
Kerekegyháza	3171,3	104
Kerekharaszt	359,3	14
Kerékteleki	20,6	2
Kerepes	1998,7	31
Kerkafalva	328,3	4
Kerkakutas	7,2	1
Kerkaszentkirály	137,7	3
Kérsemjén	43,7	1
Kerta	368,8	10
Kertészsziget	115,1	1
Keszeg	35,2	3
Kesznyéten	382,5	19
Keszthely	24247	354
Kesztölc	1343,3	10
Keszü	0,8	1
Kétegyháza	1289,7	24
Kéthely	397,5	12
Kétpó	94,8	5
Kétsoprony	518,7	14
Kétújfalu	390,6	15
Kétvölgy	1,3	1
Kéty	141,5	6
Kevermes	1496,5	13
Kilimán	71,3	2
Kimle	771	25
Kincsesbánya	1019,9	30
Királd	27,7	2
Királyegyháza	3278,8	16
Királyhegyes	160,7	1
Királyszentistván	862	3
Kisapostag	408,7	4
Kisar	872,4	10
Kisasszonyfa	345	1
Kisbágyon	15,9	2
Kisbajcs	378,9	18
Kisbajom	87,4	3
Kisbárapáti	17,4	3
Kisbárkány	152,4	2
Kisbér	3219,2	62
Kisberény	5	1
Kisbodak	53,3	7
Kisbucsa	8	3
Kiscsécs	0,9	3
Kiscsősz	57,2	3
Kisdobsza	73,6	2
Kisdombegyház	32,4	1
Kisdorog	202	3
Kisecset	5,6	1
Kisfüzes	6,9	1
Kisgörbő	10	1
Kisgyalán	58,1	4
Kisgyőr	245,8	16
Kishajmás	46,3	3
Kisharsány	1035,2	16
Kishuta	18,4	2
Kisigmánd	67	5
Kisjakabfalva	42,6	3
Kiskassa	2,8	1
Kiskinizs	241,7	2
Kiskorpád	45,1	3
Kisköre	11134,2	41
Kiskőrös	18711,4	347
Kiskunfélegyháza	19525,1	333
Kiskunhalas	23665,5	400
Kiskunlacháza	3710,6	34
Kiskunmajsa	4338,7	83
Kiskutas	17,2	10
Kisláng	1142	7
Kisléta	290,7	18
Kislippó	15	3
Kislőd	64,1	3
Kismányok	343,1	2
Kismarja	121,5	7
Kismaros	105,8	3
Kisnamény	57,1	2
Kisnána	347,4	8
Kisnémedi	103,3	3
Kisnyárád	5,6	1
Kisoroszi	118,6	2
Kispalád	39,8	2
Kispáli	96	2
Kispirit	3	1
Kisrécse	100	2
Kisrozvágy	12,3	1
Kissikátor	101,2	8
Kistarcsa	2927,7	63
Kistelek	23625,5	369
Kistokaj	4142,9	38
Kistolmács	41,7	1
Kisújszállás	18229,9	134
Kisunyom	12,6	1
Kisvárda	15472,9	266
Kisvarsány	953,4	3
Kisvásárhely	20,6	1
Kisvaszar	18,8	1
Kisvejke	203,9	11
Kiszombor	419,1	27
Kisszállás	1607,2	12
Kisszekeres	1,2	1
Kisszentmárton	31,3	2
Kissziget	4,2	1
Klárafalva	74,2	4
Kocs	843,2	18
Kocsér	922,1	10
Kocsola	87,2	3
Kocsord	994,2	19
Kóka	630,6	20
Kokad	161,1	11
Kolontár	278,5	4
Komádi	2759,3	36
Komárom	18611,7	235
Komjáti	17,7	4
Komló	15532,1	314
Komlódtótfalu	17,7	1
Komlóska	384,8	14
Komoró	2834	6
Kompolt	4559,6	12
Kondó	174,2	5
Kondoros	6933,8	51
Kóny	182,7	16
Konyár	641,7	13
Kópháza	363,9	10
Koppányszántó	2,6	1
Korlát	132,1	8
Koroncó	4040,7	10
Kosd	257,2	7
Kóspallag	10,6	1
Kótaj	502	21
Kovácshida	6,4	1
Kovácsszénája	14,8	3
Kovácsvágás	11,2	2
Kozárd	390,5	30
Kozármisleny	1571,1	69
Kozmadombja	2,5	1
Köblény	83,9	2
Kökény	19,9	1
Kőkút	227,8	3
Kölcse	806,4	16
Kölesd	669,9	5
Kölked	379,6	3
Kömlő	531,8	15
Kömlőd	220	5
Kömörő	588,4	6
Kömpöc	62,8	3
Körmend	11781,1	148
Környe	2938,2	49
Köröm	406,8	9
Kőröshegy	73,2	14
Körösladány	6990,4	62
Körösnagyharsány	20	2
Köröstarcsa	167,6	17
Kőröstetétlen	350,3	6
Körösújfalu	42,2	3
Körösszakál	470,3	17
Körösszegapáti	1134,2	7
Kőszárhegy	1406,3	21
Kőszeg	4194,7	93
Kőszegdoroszló	1	1
Kőszegpaty	2	1
Kőszegszerdahely	0,6	1
Kötcse	26,6	5
Kötegyán	425,7	9
Kőtelek	765,2	8
Kővágóörs	899	8
Kővágószőlős	1344,4	30
Kővágótöttös	25	1
Köveskál	401,3	3
Krasznokvajda	490,9	8
Kulcs	441	8
Kunadacs	522,4	10
Kunágota	1685,1	8
Kunbaja	952,3	12
Kunbaracs	1,5	1
Kuncsorba	15,9	2
Kunfehértó	2786,2	48
Kunhegyes	5918,7	72
Kunmadaras	3158,4	22
Kunpeszér	55,1	10
Kunszállás	185,4	7
Kunszentmárton	4980,7	76
Kunszentmiklós	8966,2	106
Kunsziget	727	9
Kup	436,1	1
Kupa	60	1
Kurd	640,8	4
Kurityán	232,4	12
Kutas	981,7	14
Kutasó	65,4	3
Kübekháza	678,3	6
Külsősárd	1,6	1
Külsővat	283,2	2
Küngös	222,6	4
Lábatlan	1426,1	33
Lábod	227	12
Lácacséke	34,6	5
Lad	66,2	2
Ladánybene	156,4	10
Ládbesenyő	65,2	4
Lajoskomárom	3373,3	20
Lajosmizse	8116,1	157
Lak	755,5	13
Lakhegy	98,4	6
Lakitelek	4393,7	73
Lakócsa	5,9	1
Lánycsók	207,8	15
Lápafő	229,1	1
Lapáncsa	5,6	1
Laskod	1338,3	8
Látrány	429,2	7
Lázi	109,1	4
Leányfalu	935,3	24
Leányvár	248,8	15
Lébény	978,2	26
Legénd	506,5	9
Legyesbénye	106,4	3
Léh	76,4	4
Lendvajakabfa	24,3	1
Lengyel	106,4	7
Lengyeltóti	3533,6	63
Lenti	5845,6	109
Lepsény	370,6	14
Lesenceistvánd	104,3	4
Lesencetomaj	61	2
Létavértes	7579,8	61
Letenye	8921,9	52
Levél	647,8	17
Levelek	1206,2	22
Liget	30	3
Lipót	671	17
Lippó	144,8	9
Lispeszentadorján	29,8	2
Liszó	50,9	2
Litér	813,8	21
Litka	7,5	1
Litke	34,1	2
Lócs	20	1
Lókút	2,6	1
Lónya	7123,7	7
Lórév	170,2	2
Lothárd	30,5	4
Lovas	25	1
Lovasberény	537,9	10
Lovászi	291,8	8
Lovászpatona	389,8	16
Lőkösháza	334,3	6
Lőrinci	1754,6	52
Lövő	834,7	10
Lövőpetri	7,2	1
Lucfalva	226,7	12
Ludányhalászi	197,8	6
Ludas	39,8	4
Lukácsháza	4840,4	18
Lulla	933,1	7
Lúzsok	467,9	1
Mád	2843,2	33
Madaras	657,2	13
Madocsa	77,3	4
Maglód	1551,1	35
Mágocs	2665	72
Magy	125,4	4
Magyaralmás	185,7	4
Magyaratád	15,2	1
Magyarbánhegyes	1918,5	14
Magyarbóly	294,7	22
Magyarcsanád	114,1	5
Magyaregregy	86,3	7
Magyaregres	6,4	1
Magyargéc	239,7	8
Magyargencs	37,3	4
Magyarhertelend	594,3	21
Magyarhomorog	252,5	12
Magyarkeresztúr	28,5	3
Magyarkeszi	113,7	9
Magyarlak	9,1	1
Magyarmecske	1459	8
Magyarnándor	413,4	8
Magyarpolány	93,3	5
Magyarsarlós	11,2	2
Magyarszecsőd	85,2	7
Magyarszék	134,2	15
Magyarszerdahely	116,9	7
Magyarszombatfa	45,3	4
Magyartelek	119,8	2
Majosháza	451,3	7
Majs	28,4	4
Makád	387,8	5
Makkoshotyka	208,2	7
Maklár	2744,8	19
Makó	29025,3	308
Malomsok	47,6	3
Mályi	2315,7	49
Mályinka	236,3	7
Mánd	505,2	3
Mándok	2787,2	33
Mánfa	122,8	7
Mány	196,2	12
Maráza	42,2	2
Marcalgergelyi	475,9	2
Marcali	13884,8	163
Marcaltő	170,5	9
Márfa	7,6	3
Máriahalom	0,8	2
Máriakálnok	84,8	9
Máriakéménd	115,1	1
Márianosztra	1671	8
Máriapócs	2046	31
Markaz	126,1	12
Márkó	1188	25
Markóc	41,9	1
Márokföld	27,3	6
Márokpapi	399,8	6
Maroslele	194,4	8
Mártély	481,4	12
Martfű	5554,3	71
Martonfa	2,1	1
Martonvásár	152040,4	193
Martonyi	173,8	5
Mátészalka	37479,4	418
Mátételke	29	6
Mátraballa	631,5	7
Mátraderecske	1024,8	31
Mátramindszent	149,8	7
Mátranovák	795,2	15
Mátraszele	10,1	3
Mátraszentimre	2132,7	18
Mátraszőlős	405,9	6
Mátraterenye	187,3	14
Mátraverebély	3214,6	10
Mátyásdomb	34,1	2
Mátyus	61,5	3
Máza	190,8	12
Mecseknádasd	578,5	24
Mecsér	102,3	4
Medgyesbodzás	111,1	8
Medgyesegyháza	3961,4	55
Medina	223,3	5
Megyaszó	1053,6	22
Megyehíd	17	2
Megyer	67,5	2
Méhkerék	1836,2	20
Méhtelek	135,2	6
Mélykút	5183,1	44
Mencshely	156,1	5
Mende	760,8	12
Méra	264,2	8
Mérk	2084,9	12
Mernye	1216,9	12
Mersevát	148,6	5
Mesteri	143,7	1
Mesterszállás	19,8	4
Meszes	20,9	3
Mesztegnyő	294,6	11
Mezőberény	8892,5	121
Mezőcsát	5144,8	59
Mezőcsokonya	153,4	9
Meződ	0,5	1
Mezőfalva	3328,1	32
Mezőgyán	129,7	6
Mezőhegyes	1968,5	52
Mezőhék	259,8	7
Mezőkeresztes	970,5	23
Mezőkovácsháza	4857,5	121
Mezőkövesd	15652,5	231
Mezőladány	2433,1	7
Mezőlak	597	12
Mezőnagymihály	614	9
Mezőnyárád	102	5
Mezőörs	340,3	8
Mezőpeterd	49,4	3
Mezősas	122,2	4
Mezőszemere	233,2	8
Mezőszentgyörgy	583,6	10
Mezőszilas	1008	18
Mezőtárkány	308,5	14
Mezőtúr	7185,9	151
Mezőzombor	694,5	20
Miháld	7,7	1
Mihályfa	17,7	1
Mihálygerge	217,7	7
Mihályháza	5,2	2
Mihályi	53,7	4
Mike	301,2	2
Mikebuda	0,7	1
Mikekarácsonyfa	7,7	1
Mikepércs	1481,7	24
Miklósi	54,5	2
Mikófalva	29,1	2
Mikóháza	883,5	21
Mikosszéplak	41,9	2
Milejszeg	24,4	1
Milota	159,9	4
Mindszent	5732,6	64
Mindszentgodisa	300	17
Mindszentkálla	97,9	2
Misefa	5,8	3
Miske	127,4	5
Miskolc	230516,5	2737
Mocsa	181,7	9
Mogyoród	1063	24
Mogyorósbánya	198	7
Mogyoróska	35,8	3
Moha	103,8	2
Mohács	14470,2	277
Mohora	35,8	3
Molnári	27,9	3
Monaj	267,3	3
Monok	334,4	16
Monor	3637,1	69
Monorierdő	157,8	4
Mónosbél	3	1
Monostorapáti	10	2
Monostorpályi	2324,2	31
Monoszló	64,6	3
Monyoród	283,5	2
Mór	12801,3	155
Mórágy	269,6	9
Mórahalom	26373,9	257
Móricgát	5,5	1
Mórichida	44,3	6
Mosdós	75,1	5
Mosonmagyaróvár	33513	735
Mosonszentmiklós	381	8
Mosonszolnok	651	13
Mosonudvar	452,3	8
Mozsgó	114,8	6
Mőcsény	70,5	3
Mucsfa	3,4	1
Mucsi	125,4	1
Múcsony	790,1	19
Muhi	98,6	7
Murakeresztúr	686,5	18
Murarátka	67,5	3
Muraszemenye	15,6	3
Murony	183,9	7
Nábrád	211,4	8
Nadap	57	2
Nádasd	4634,6	16
Nádasdladány	91,9	6
Nádudvar	10660,7	70
Nágocs	39,4	6
Nagyacsád	268,1	5
Nagyalásony	266,1	6
Nagyar	503,3	3
Nagyatád	20777,6	175
Nagybajcs	382,2	7
Nagybajom	5070,8	41
Nagybakónak	33,2	2
Nagybánhegyes	245,2	17
Nagybaracska	3390,6	9
Nagybarca	232,5	7
Nagybárkány	10,5	1
Nagyberény	36	3
Nagyberki	286,8	8
Nagybörzsöny	789,5	9
Nagybudmér	3,2	1
Nagycenk	364	8
Nagycsécs	152	9
Nagycserkesz	482,9	19
Nagydobos	617,2	8
Nagydobsza	792,7	16
Nagydorog	1514	19
Nagyecsed	8293,6	50
Nagyér	44,3	1
Nagyesztergár	21,5	3
Nagyfüged	168,1	8
Nagygyimót	8,6	1
Nagyhajmás	55,5	6
Nagyhalász	1554,4	44
Nagyharsány	1711,2	13
Nagyhegyes	4699,5	38
Nagyhódos	650,5	2
Nagyhuta	42,1	3
Nagyigmánd	3102,6	23
Nagyiván	253	15
Nagykálló	8997,2	154
Nagykamarás	457,6	22
Nagykanizsa	42768,8	727
Nagykapornak	199,4	11
Nagykarácsony	68,3	9
Nagykáta	26706,6	71
Nagykereki	45,5	4
Nagykeresztúr	130,8	2
Nagykinizs	36,2	4
Nagykónyi	502,4	7
Nagykorpád	183,7	1
Nagykovácsi	3474,3	36
Nagykozár	176	8
Nagykökényes	20,4	1
Nagykölked	14,4	1
Nagykőrös	9753,1	71
Nagykörű	2475,9	30
Nagykutas	59,8	4
Nagylak	14,7	1
Nagylengyel	70	8
Nagylóc	679,4	8
Nagylók	162,5	11
Nagylózs	908,1	6
Nagymágocs	1384	16
Nagymányok	538,8	19
Nagymaros	3655,1	21
Nagymizdó	24,4	7
Nagynyárád	147,2	5
Nagyoroszi	657,5	19
Nagypáli	149,7	12
Nagypall	47,6	1
Nagypeterd	20,5	1
Nagyrábé	2024,2	15
Nagyrada	35,4	3
Nagyrécse	841,7	9
Nagyréde	920,9	26
Nagyrév	75,4	5
Nagyrozvágy	489,2	11
Nagysáp	145,6	7
Nagysimonyi	28,5	4
Nagyszakácsi	158,5	5
Nagyszekeres	473,9	13
Nagyszénás	4403,7	26
Nagyszentjános	268,8	8
Nagytálya	8,7	3
Nagytarcsa	4604,9	88
Nagytevel	5,7	1
Nagytótfalu	12,8	1
Nagytőke	349	4
Nagyút	25,6	1
Nagyvarsány	249,5	2
Nagyvázsony	432	19
Nagyveleg	290,7	3
Nagyvenyim	816,8	21
Nagyvisnyó	154,6	5
Nak	620,1	4
Napkor	1742,9	42
Nárai	21,7	2
Narda	23	1
Naszály	146,2	12
Négyes	78,1	5
Nekézseny	82	2
Nemesapáti	34,3	9
Nemesbikk	102,4	3
Nemesborzova	19,4	2
Nemesbőd	1,5	1
Nemescsó	30,6	3
Nemesdéd	14,7	1
Nemesgörzsöny	33,2	5
Nemesgulács	300,1	5
Nemeshany	26,6	4
Nemeskolta	12,2	1
Nemesnádudvar	994,5	31
Nemesnép	25,8	1
Nemespátró	13,4	2
Nemessándorháza	9,9	2
Nemesvámos	2890,6	58
Nemesvita	140	4
Nemesszalók	143,5	2
Németkér	203,3	8
Nemti	45,6	2
Neszmély	1405,7	11
Nézsa	129,9	5
Nick	22,4	1
Nikla	122,3	4
Nógrád	1046,8	19
Nógrádkövesd	352,1	8
Nógrádmarcal	19,7	1
Nógrádmegyer	1321,5	10
Nógrádsáp	137,5	13
Nógrádsipek	313,1	8
Noszlop	633,5	12
Noszvaj	1088,1	17
Nova	448,4	7
Novaj	232,6	11
Novajidrány	729,6	14
Nőtincs	718,9	14
Nyalka	16,2	3
Nyárád	101,1	3
Nyáregyháza	129,1	6
Nyárlőrinc	1536,9	15
Nyársapát	523,3	10
Nyékládháza	632,2	25
Nyergesújfalu	1997,2	69
Nyésta	66,7	2
Nyírábrány	918,1	29
Nyíracsád	908,1	38
Nyirád	339,3	15
Nyíradony	12859,4	154
Nyírbátor	24375,8	285
Nyírbéltek	469,1	22
Nyírbogát	3375,7	22
Nyírbogdány	2722,8	18
Nyírcsaholy	342,7	16
Nyírcsászári	1286,8	18
Nyírderzs	122,2	5
Nyíregyháza	198503,4	2575
Nyírgelse	377,3	9
Nyírgyulaj	303,1	18
Nyíri	26,2	4
Nyíribrony	88,6	5
Nyírjákó	428,1	11
Nyírkarász	425,4	18
Nyírkáta	129,8	6
Nyírkércs	148,5	12
Nyírlövő	62,4	3
Nyírlugos	1510,7	28
Nyírmada	3354,8	79
Nyírmártonfalva	64,9	13
Nyírmeggyes	1637,2	22
Nyírmihálydi	855,3	17
Nyírparasznya	300,7	8
Nyírpazony	656,7	36
Nyírpilis	105,8	3
Nyírtass	677,1	13
Nyírtelek	7477	91
Nyírtét	340,7	7
Nyírtura	178,8	12
Nyírvasvári	536,5	22
Nyőgér	2,2	1
Nyúl	1340,1	45
Óbánya	132,4	6
Óbarok	29,6	3
Ócsa	5561,2	43
Ófalu	9,9	1
Ófehértó	615,5	12
Óföldeák	87,9	3
Óhíd	63,7	4
Okány	1849,8	23
Okorág	115,5	3
Okorvölgy	137,8	1
Olasz	1073,6	18
Olaszfa	113,5	9
Olaszliszka	501,1	26
Olcsva	112,6	6
Olcsvaapáti	408	4
Old	876,7	3
Onga	2299,4	24
Ónod	371,5	11
Ópályi	1556,6	14
Ópusztaszer	4589	27
Orbányosfa	2,7	2
Orci	108,7	4
Ordacsehi	657,8	3
Orfű	2954,8	47
Orgovány	349,6	14
Ormándlak	180	2
Ormosbánya	483,6	12
Orosháza	57575,8	303
Oroszlány	9753,3	124
Oroszló	1	2
Orosztony	1,8	1
Osli	86,5	3
Ostffyasszonyfa	58,6	2
Ostoros	732,8	21
Oszkó	1057,8	24
Oszlár	159,4	3
Osztopán	42,9	6
Ózd	27265,3	326
Ozora	1987,1	9
Öcs	106,6	1
Őcsény	204,6	18
Öcsöd	7441,9	15
Ököritófülpös	798,8	12
Ölbő	22	3
Ömböly	34,7	1
Őr	86	5
Őrbottyán	741,9	22
Öregcsertő	142,7	4
Öreglak	94,5	7
Őrhalom	79,5	4
Őrimagyarósd	2,2	1
Őriszentpéter	1978,7	41
Örkény	1620,2	31
Örményes	205,3	5
Örménykút	337,5	7
Őrtilos	1012,9	8
Örvényes	25,5	2
Ősagárd	7,3	1
Ősi	124,9	4
Öskü	60,7	8
Öttevény	290	20
Öttömös	141,1	7
Pácin	1298,7	23
Pacsa	905,3	24
Pácsony	87,6	5
Padár	22,9	1
Páhi	155,2	9
Páka	580,5	7
Pakod	182,4	7
Pákozd	1918,3	26
Paks	11591,2	245
Palé	0,2	1
Pálfa	213,5	7
Pálfiszeg	4,4	1
Pálháza	982,4	38
Páli	8,4	1
Palkonya	133,9	4
Pálmajor	95	2
Pálmonostora	107,8	3
Pálosvörösmart	211,5	5
Palotabozsok	159,4	10
Palotás	261,1	23
Paloznak	102,8	4
Pamuk	44,5	1
Pánd	93,2	5
Pankasz	17,4	2
Pannonhalma	7165,3	53
Pányok	34,1	1
Panyola	294	18
Pap	170,4	10
Pápa	15181,5	282
Pápadereske	2	1
Pápakovácsi	76,8	11
Pápateszér	587,8	15
Papkeszi	61,4	3
Papos	69,1	4
Páprád	70,8	3
Parád	2387	39
Parádsasvár	223,3	5
Parasznya	561,1	8
Pári	315,8	11
Paszab	1055,9	8
Pásztó	8947,7	117
Pásztori	40	1
Pat	104,2	2
Patak	187,6	6
Patalom	425,3	7
Patca	106,1	6
Pátka	69,9	4
Pátroha	563,4	10
Patvarc	123,4	4
Páty	1307,7	31
Pátyod	659	8
Pázmánd	438,4	17
Pázmándfalu	123,5	6
Pécel	2196,5	44
Pécs	217544,1	2971
Pécsbagota	88	6
Pécsely	254,1	14
Pécsudvard	8	3
Pécsvárad	4234,2	75
Pellérd	807,6	29
Pély	1090,2	9
Penészlek	629,6	8
Pénzesgyőr	73,5	4
Penyige	579,1	21
Pér	2172	6
Perbál	1178,4	15
Pere	8,7	1
Perenye	38,5	4
Peresznye	10,6	2
Pereszteg	211,2	11
Perkáta	5298,6	35
Perkupa	257,2	17
Perőcsény	11,2	2
Péterhida	301	1
Péteri	33	3
Pétervására	2163,7	42
Pétfürdő	2047,3	26
Pethőhenye	7,4	2
Petneháza	363,3	14
Petőfibánya	313,3	12
Petőfiszállás	30,2	5
Petőháza	32,7	4
Petőmihályfa	3,4	1
Petrikeresztúr	12,7	1
Petrivente	51	1
Piliny	65	1
Pilis	1023,7	21
Pilisborosjenő	3947,1	26
Piliscsaba	75754,1	58
Piliscsév	737,4	24
Pilisjászfalu	315,5	15
Pilismarót	393,4	9
Pilisvörösvár	2507,9	66
Pilisszántó	1173,2	12
Pilisszentiván	1005,9	21
Pilisszentkereszt	511,5	9
Pilisszentlászló	71,5	2
Pincehely	1833,9	10
Pinkamindszent	37	1
Pinnye	112,2	2
Piricse	290,9	13
Pirtó	2152,6	34
Pitvaros	233	8
Pócsa	59,8	2
Pocsaj	2844,2	23
Pócsmegyer	205,4	5
Pócspetri	648,5	19
Pogány	1402,9	13
Pókaszepetk	523,7	16
Polány	59	3
Polgár	9778,4	95
Polgárdi	12099,1	74
Pomáz	2345,7	60
Porcsalma	801	16
Pornóapáti	420,9	5
Poroszló	3932,8	36
Porpác	27,9	4
Porrog	3,4	2
Porrogszentkirály	20,1	2
Porrogszentpál	19,4	1
Pórszombat	4	2
Porva	30,6	2
Pósfa	6,8	2
Pölöske	58,3	7
Pörböly	12,9	5
Pördefölde	6	2
Pötréte	28,6	2
Prügy	2091,8	15
Pusztaapáti	0,8	1
Pusztaberki	371,8	13
Pusztacsalád	23,4	1
Pusztadobos	469,2	19
Pusztaederics	3,5	2
Pusztafalu	80,9	6
Pusztaföldvár	7,3	1
Pusztahencse	496,2	1
Pusztakovácsi	44,6	3
Pusztamagyaród	356,1	7
Pusztamérges	10	1
Pusztamonostor	20,1	2
Pusztaottlaka	960	19
Pusztaszabolcs	2923	41
Pusztaszemes	4,3	1
Pusztaszentlászló	30,2	2
Pusztaszer	617,4	15
Pusztavám	390	17
Pusztazámor	434,1	5
Putnok	2210,4	51
Püski	159,9	6
Püspökhatvan	232,4	5
Püspökladány	169663,7	179
Püspökmolnári	488,9	3
Püspökszilágy	4,5	1
Rábacsanak	51,1	2
Rábagyarmat	12,6	2
Rábahídvég	462,4	6
Rábakecöl	11	3
Rábapatona	661,1	17
Rábapaty	355,9	17
Rábapordány	116,1	6
Rábaszentandrás	1555,1	5
Rábaszentmihály	19,8	3
Rábaszentmiklós	193,7	2
Rábatamási	403,7	2
Rácalmás	4390,4	43
Ráckeresztúr	359	18
Ráckeve	2955,4	59
Rád	408,7	2
Rádóckölked	124,5	10
Radostyán	165,3	7
Ragály	101,2	7
Rajka	741,5	11
Rakaca	221,6	8
Rakacaszend	85,9	5
Rakamaz	2560,5	47
Rákóczibánya	107,7	4
Rákóczifalva	341,3	30
Rákócziújfalu	171,2	4
Ráksi	43,5	2
Ramocsaháza	630,7	10
Rápolt	17	3
Raposka	24,8	1
Rásonysápberencs	284,8	2
Rátka	449,7	11
Rátót	16,6	1
Ravazd	383,6	9
Recsk	1231,4	37
Réde	1112,3	14
Rédics	7184	8
Regéc	580,3	3
Regöly	463,1	8
Rém	303,4	7
Remeteszőlős	184	5
Répáshuta	208,6	10
Répcelak	906,9	28
Répcevis	6,1	1
Resznek	20,9	3
Rétalap	3,5	1
Rétközberencs	80,2	5
Rétság	3747,2	47
Révfülöp	146,7	10
Révleányvár	20	1
Rezi	70,8	6
Ricse	1156,5	23
Rimóc	796,1	17
Rinyabesenyő	86,8	2
Rinyakovácsi	9,8	1
Rinyaszentkirály	13,7	2
Rinyaújlak	18,5	1
Rinyaújnép	12,7	1
Rohod	316,5	10
Románd	68,1	6
Romhány	1156,9	15
Romonya	92,2	1
Rozsály	659,7	16
Rózsaszentmárton	1466,2	13
Rönök	92,1	1
Röszke	2078,9	28
Rudabánya	1014,1	12
Rudolftelep	135	8
Rum	307,9	16
Ruzsa	440,5	20
Ságújfalu	220,6	8
Ságvár	1229,7	24
Sajóbábony	5346,4	58
Sajóecseg	2167,9	9
Sajógalgóc	28,5	3
Sajóhídvég	265,4	6
Sajóivánka	37,3	2
Sajókápolna	191,8	3
Sajókaza	7383,2	40
Sajókeresztúr	433,2	16
Sajólád	551,7	12
Sajólászlófalva	10	1
Sajómercse	10,2	1
Sajónémeti	47,1	3
Sajóörös	102,9	7
Sajópálfala	1488,2	5
Sajópetri	290,8	10
Sajópüspöki	43	2
Sajósenye	120,8	6
Sajószentpéter	4348,5	74
Sajószöged	2620,1	14
Sajóvámos	151,5	7
Sajóvelezd	108,5	8
Sajtoskál	5,4	2
Salföld	0	1
Salgótarján	39372,5	478
Salomvár	2,1	4
Sály	555,4	4
Sámod	505,4	2
Sámsonháza	348,5	3
Sand	71,3	1
Sándorfalva	7433,4	80
Sántos	132	8
Sáp	501,9	10
Sáránd	473,6	16
Sárazsadány	166,7	4
Sárbogárd	3004,2	82
Sáregres	308,3	7
Sárfimizdó	5,7	1
Sárhida	3,8	1
Sárisáp	131,9	6
Sarkad	5816	61
Sarkadkeresztúr	545,9	15
Sárkeresztes	176	10
Sárkeresztúr	376,5	11
Sármellék	4836,1	10
Sárok	679	2
Sárosd	192,3	10
Sárospatak	12987,7	253
Sárpilis	82,8	5
Sárrétudvari	1141	31
Sarród	1729,4	11
Sárszentlőrinc	231,9	6
Sárszentmihály	635,6	33
Sarud	201,3	13
Sárvár	11980,5	190
Sásd	3948,9	87
Sáska	33,9	1
Sáta	8,2	2
Sátoraljaújhely	19468,4	248
Sátorhely	1243,1	6
Sávoly	26,9	2
Sé	19,5	3
Segesd	1986,8	25
Selyeb	31,7	3
Sellye	5576,1	62
Semjén	10,9	1
Semjénháza	29,4	1
Sénye	35,2	2
Sényő	253,9	14
Seregélyes	1572,8	40
Serényfalva	1090,5	2
Sikátor	14,5	1
Siklós	8096,5	101
Siklósnagyfalu	351,1	3
Sima	10	1
Simaság	185,9	3
Simonfa	58,5	2
Simontornya	5393,1	58
Sióagárd	619,1	15
Siófok	28042,6	593
Siójut	34,7	1
Sirok	3191,7	42
Sitke	355	7
Sobor	29,4	2
Sokorópátka	487,7	23
Solt	4644,3	87
Soltszentimre	324,7	8
Soltvadkert	5383,3	174
Sóly	9,6	1
Solymár	1701	58
Som	3577	4
Somberek	1237,4	15
Somlójenő	15	5
Somlószőlős	279,1	13
Somlóvásárhely	378,6	11
Somlóvecse	1,6	1
Somodor	92	4
Somogyacsa	2,8	3
Somogyapáti	1254,9	5
Somogyaszaló	82,6	8
Somogybabod	2644,6	9
Somogybükkösd	14,2	1
Somogycsicsó	22,4	3
Somogydöröcske	296	9
Somogyegres	3,3	3
Somogyfajsz	479,3	3
Somogygeszti	116,5	3
Somogyhárságy	39,6	2
Somogyhatvan	66,9	2
Somogyjád	1468,1	14
Somogysámson	31,5	2
Somogysárd	228	7
Somogyszentpál	2,7	2
Somogyszil	8,4	2
Somogyszob	234,8	12
Somogytúr	2524,7	4
Somogyudvarhely	199,6	12
Somogyvámos	260,5	8
Somogyvár	2940,9	29
Somogyzsitfa	159,3	7
Somoskőújfalu	314,8	22
Sonkád	124,6	7
Soponya	94,1	7
Sopron	103368	831
Sopronhorpács	236,4	9
Sopronkövesd	1241,6	10
