varos	osszeg_millio	palyzatok_szama
Csurgónagymarton	22,7	3
Dabas	8904,1	133
Dabronc	139,6	6
Dabrony	42,4	1
Dad	164,8	8
Dág	35,9	3
Dalmand	286,4	7
Damak	162,9	6
Dámóc	14,8	2
Dánszentmiklós	1677,2	12
Dány	720,9	10
Darány	212,2	10
Darnózseli	339,6	15
Daruszentmiklós	574,4	10
Dávod	1373,8	10
Debercsény	14,3	1
Debrecen	301459,9	4357
Debréte	1,4	1
Decs	3290,2	36
Dédestapolcsány	261,5	10
Dég	1200,9	24
Dejtár	223,6	8
Délegyháza	402,9	8
Demecser	2971,7	36
Demjén	4893,5	39
Dencsháza	1112	20
Dénesfa	33,3	1
Derecske	9271,5	99
Derekegyház	1102,2	10
Deszk	1428,8	54
Detek	635,7	7
Detk	641,6	6
Dévaványa	2460,6	54
Devecser	5459,1	53
Dinnyeberki	8,7	1
Diósberény	49,3	3
Diósd	1496,2	47
Diósjenő	838	17
Dióskál	52	5
Diósviszló	12,7	2
Doba	587,4	6
Doboz	2511,9	16
Dobri	70	1
Dobronhegy	24,2	1
Dóc	202,1	17
Domaháza	216,4	7
Domaszék	1165,3	47
Dombegyház	619,1	13
Dombiratos	13,9	2
Dombóvár	16494,2	216
Dombrád	1876,4	46
Domony	26,9	3
Domoszló	1121,9	24
Dormánd	810,1	9
Dorog	3653,8	107
Dorogháza	145,2	6
Döbörhegy	6	2
Döbröce	4,2	1
Döbrököz	255,8	13
Döbrönte	15,8	3
Döge	425,7	9
Dömös	136,1	8
Dömsöd	1217,2	30
Dör	135,7	3
Dörgicse	95,5	3
Döröske	1,1	3
Dötk	278,7	6
Dövény	10	1
Drágszél	13,1	1
Drávacsepely	38,4	1
Drávafok	385,6	3
Drávagárdony	17,1	1
Drávapiski	11	1
Drávaszabolcs	4090,6	7
Drávasztára	88,6	3
Drávatamási	403,1	6
Drégelypalánk	1582,1	16
Dubicsány	25,9	3
Dudar	1407,7	14
Dunaalmás	2039,7	16
Dunabogdány	387,1	17
Dunaegyháza	256,9	9
Dunafalva	8,5	2
Dunaföldvár	3785,4	82
Dunaharaszti	4592,3	124
Dunakeszi	7264,8	247
Dunakiliti	531,7	21
Dunapataj	5427,1	42
Dunaremete	49,7	2
Dunaszeg	259,7	13
Dunaszekcső	459	6
Dunaszentbenedek	279,7	6
Dunaszentgyörgy	29,5	7
Dunaszentpál	6	2
Dunasziget	94,6	8
Dunatetétlen	1615,8	4
Dunaújváros	28713	450
Dunavarsány	3093,9	50
Dunavecse	2260,7	33
Dusnok	819,6	27
Dúzs	804,1	3
Ebergőc	16,5	1
Ebes	1319,9	29
Écs	890	25
Ecséd	310,6	8
Ecseg	710,2	17
Ecsegfalva	14,8	3
Ecser	513	13
Edelény	12693,3	167
Eger	86541,1	1306
Egerág	76,7	5
Egeralja	5,6	1
Egeraracsa	6,4	1
Egerbakta	568,7	6
Egerbocs	7,7	1
Egercsehi	173,2	7
Egerfarmos	119,2	6
Egerlövő	42,9	2
Egerszalók	3186,1	49
Egerszólát	132,2	6
Égerszög	11,3	2
Egervár	917,7	26
Egervölgy	1	1
Egyed	15,8	1
Egyek	2659,6	35
Egyházasdengeleg	173,8	14
Egyházasfalu	362,9	13
Egyházasgerge	25,1	3
Egyházasharaszti	53,5	2
Egyházashetye	6	2
Egyházashollós	24,4	1
Egyházaskozár	547	11
Egyházasrádóc	67,7	7
Elek	1824,7	27
Ellend	8,6	1
Előszállás	1494,9	10
Emőd	1116,5	17
Encs	8364,1	95
Encsencs	457,4	9
Endrefalva	184,8	7
Enese	13316,4	21
Enying	5063,4	49
Eperjes	69,3	6
Eperjeske	249,5	3
Eplény	232	6
Epöl	50,7	3
Ercsi	3207,4	70
Érd	38212,6	213
Erdőbénye	255,1	17
Erdőhorváti	175,7	6
Erdőkertes	985,3	22
Erdőkövesd	193,2	3
Erdőkürt	60,4	4
Erdősmárok	4,9	1
Erdősmecske	10,6	1
Erdőtarcsa	56	3
Erdőtelek	5432,8	45
Erk	396,8	7
Érpatak	254,2	14
Érsekcsanád	402,2	16
Érsekhalma	403,4	6
Érsekvadkert	860,3	25
Értény	9,5	3
Erzsébet	50,3	2
Esztár	839,4	30
Eszteregnye	168	4
Esztergályhorváti	273,7	6
Esztergom	22650	373
Ete	170,5	5
Etes	138,3	4
Etyek	2252,8	33
Fábiánháza	191	7
Fábiánsebestyén	1502,4	17
Fácánkert	32,2	2
Fadd	912,4	29
Fáj	54,9	2
Fajsz	796,1	12
Fancsal	10	1
Farád	100,4	6
Farkasgyepű	608,3	4
Farkaslyuk	575,3	12
Farmos	67,3	15
Fedémes	1,7	1
Fegyvernek	4441,7	39
Fehérgyarmat	7629,6	142
Fehértó	150,2	2
Fehérvárcsurgó	1847,7	17
Feked	84,4	4
